brand,model,car_name,car_category,  price  ,trim,  kilometers  ,year, vehicle_age_years ,regional_specs,doors,body_type,fuel_type,seating_capacity,transmission_type,engine_capacity_cc,horsepower,no_of_cylinders,exterior_color,interior_color,warranty,address,country,city,area_name,location_name,seller_type,lat,long
Porsche,Carrera GT,Porsche Carrera GT,Hypercar,"5,800,000",GT,"14,575",2006,18,Japanese Specs,2,Hard Top Convertible,Petrol,2,Manual Transmission,4000+,600 - 699,10,Silver,Brown,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Ferrari,Purosangue,Ferrari Purosangue,Premium_fullsize_SUV,"3,850,000",Other,131,2024, -   ,European Specs,2,SUV,Petrol,,Automatic Transmission,,700 - 799,12,Black,Black,No,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,Dealer,25.0786415,55.1352524
Ferrari,599 GTO,Ferrari 599 Gto,Supercar,"499,900",Other,"1,372",2011,13,GCC Specs,2,Coupe,Petrol,2,Automatic Transmission,4000+,600 - 699,12,Yellow,Yellow,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1687524,55.2562974
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"3,700,000",G 63 AMG,30,2023,1,European Specs,4,SUV,Petrol,4,Automatic Transmission,4000+,900+,8,Grey,Black,Does not apply,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,Dealer,25.167737,55.231018
Lamborghini,Urus,Lamborghini Urus,Premium_fullsize_SUV,"3,299,000",Other,  -    ,2021,3,European Specs,4,SUV,Petrol,5,Automatic Transmission,,800 - 899,8,Grey,Unknown,No,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,799,000",Black Badge,105,2023,1,European Specs,5,SUV,Petrol,,Automatic Transmission,,600 - 699,12,Black,Unknown,Yes,"Al Safa 1, Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,Al Safa 1,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,695,000",Standard,"11,700",2023,1,European Specs,4,SUV,Petrol,5,Automatic Transmission,Unknown,600 - 699,12,Grey,Unknown,No,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"2,598,000",G 63 AMG,  -    ,2022,2,European Specs,5,SUV,Petrol,5,Automatic Transmission,4000+,900+,8,Grey,Unknown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"2,499,000",G 63 AMG,74,2023,1,European Specs,5,SUV,Petrol,,Automatic Transmission,,900+,8,Black,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,490,000",Black Badge,500,2024, -   ,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599,12,Green,Yellow,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,450,000",Black Badge,500,2024, -   ,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599,12,Grey,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,450,000",Standard,300,2024, -   ,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599,12,Black,Yellow,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,450,000",Black Badge,200,2024, -   ,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599,12,Black,Unknown,Yes,"Al Safa 1, Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,Al Safa 1,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,415,000",Black Badge,  -    ,2024, -   ,GCC Specs,4,Crossover,Petrol,4,Automatic Transmission,Unknown,600 - 699,12,Black,Unknown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,399,000",Other,"20,000",2020,4,European Specs,4,SUV,Petrol,,Automatic Transmission,,Unknown,,Blue,White,Does not apply,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,350,000",Black Badge,200,2023,1,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599,12,Grey,Blue,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"2,350,000",Other,41,2023,1,European Specs,4,SUV,Petrol,,Automatic Transmission,,800 - 899,8,White,Unknown,No,"Sheikh Zayed Road, Dubai, UAE",UAE,Dubai,Sheikh Zayed Road,,Dealer,25.167737,55.231018
Rolls-Royce,Dawn,Rolls-Royce Dawn,Premium_fullsized_car,"2,700,000",Other,200,2023,1,GCC Specs,2,Soft Top Convertible,Petrol,2,Automatic Transmission,,500 - 599,12,Grey,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1754665,55.2384739
Rolls-Royce,Dawn,Rolls-Royce Dawn,Premium_fullsized_car,"2,700,000",Other,200,2023,1,GCC Specs,2,Soft Top Convertible,Petrol,2,Automatic Transmission,,500 - 599,12,Grey,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1754665,55.2384739
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,350,000",Black Badge,400,2023,1,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599,12,Black,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Mercedes-Benz,SLS,Mercedes-Benz Sls,Premium_sports_car,"3,300,000",Coupe,"7,245",2014,10,GCC Specs,2,Coupe,Petrol,,Automatic Transmission,,600 - 699,8,White,Black,No,"Dubai Marina, Dubai, UAE",UAE,Dubai,Dubai Marina,,Dealer,25.0786415,55.1352524
Mercedes-Benz,SLR,Mercedes-Benz Slr,Premium_sports_car,"3,210,000",722,71,2008,16,GCC Specs,2,Coupe,Petrol,2,Automatic Transmission,4000+,600 - 699,8,White,White,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1687524,55.2562974
Rolls-Royce,Dawn,Rolls-Royce Dawn,Premium_fullsized_car,"2,700,000",Other,200,2023,1,GCC Specs,2,Soft Top Convertible,Petrol,4,Automatic Transmission,,500 - 599,12,Blue,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1754665,55.2384739
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,350,000",Black Badge,400,2023,1,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599,12,Black,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,325,000",Black Badge,  -    ,2023,1,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,4000+,500 - 599,12,Black,Blue,Yes,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,325,000",Black Badge,  -    ,2023,1,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,4000+,500 - 599,12,Black,Blue,Yes,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,250,000",Black Badge,500,2023,1,GCC Specs,5,SUV,Petrol,4,Automatic Transmission,,500 - 599,12,White,Blue,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Mercedes-Benz,SLR,Mercedes-Benz Slr,Premium_sports_car,"3,210,000",722,71,2008,16,GCC Specs,2,Coupe,Petrol,2,Automatic Transmission,4000+,600 - 699,8,White,White,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1687524,55.2562974
Mercedes-Benz,SLS,Mercedes-Benz Sls,Premium_sports_car,"2,800,000",Coupe,"14,981",2013,11,Japanese Specs,2,Coupe,Petrol,2,Automatic Transmission,4000+,600 - 699,8,Grey,Black,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.0786415,55.1352524
Rolls-Royce,Dawn,Rolls-Royce Dawn,Premium_fullsized_car,"2,700,000",Other,200,2023,1,GCC Specs,2,Soft Top Convertible,Petrol,4,Automatic Transmission,,500 - 599,12,Blue,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1754665,55.2384739
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,250,000",Other,35,2022,2,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,4000+,500 - 599,12,Black,Unknown,Yes,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,250,000",Other,35,2022,2,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,4000+,500 - 599,12,Black,Unknown,Yes,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,249,000",Black Badge,  -    ,2024, -   ,European Specs,5,SUV,Petrol,,Automatic Transmission,,600 - 699,12,Grey,Blue,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Mercedes-Benz,GLS-Class,Mercedes-Benz Gls-Class,Premium_fullsize_SUV,"2,200,000",Other,193,2023,1,European Specs,5,SUV,Petrol,4,Automatic Transmission,4000+,800 - 899,8,White,Black,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1524105,55.2340999
Mercedes-Benz,GLS-Class,Mercedes-Benz Gls-Class,Premium_fullsize_SUV,"2,200,000",Other,193,2023,1,European Specs,5,SUV,Petrol,4,Automatic Transmission,4000+,800 - 899,8,White,Black,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1524105,55.2340999
Rolls-Royce,Spectre,Rolls-Royce Spectre,Premium_fullsized_car,"2,699,000",Other,  -    ,2024, -   ,GCC Specs,2,Coupe,Electric,4,Automatic Transmission,,500 - 599,,Black,Unknown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.1790137,55.379422
Rolls-Royce,Wraith,Rolls-Royce Wraith,Premium_fullsized_car,"2,650,000",Black Badge,500,2023,1,Other,2,Coupe,Petrol,4,Automatic Transmission,,600 - 699,12,Black,Blue,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1524105,55.2340999
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,199,000",Black Badge,  -    ,2023,1,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,Unknown,500 - 599,12,Black,White,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Rolls-Royce,Wraith,Rolls-Royce Wraith,Premium_fullsized_car,"2,650,000",Black Badge,500,2023,1,Other,2,Coupe,Petrol,4,Automatic Transmission,,600 - 699,12,Black,Blue,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1524105,55.2340999
Rolls-Royce,Spectre,Rolls-Royce Spectre,Premium_fullsized_car,"2,650,000",Other,100,2024, -   ,GCC Specs,2,Coupe,Electric,4,Automatic Transmission,,500 - 599,,Black,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1790137,55.379422
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,199,000",Black Badge,"8,000",2021,3,European Specs,4,SUV,Petrol,,Automatic Transmission,,800 - 899,12,Purple,White,Does not apply,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Rolls-Royce,Spectre,Rolls-Royce Spectre,Premium_fullsized_car,"2,630,000",Other,  -    ,2024, -   ,GCC Specs,2,Coupe,Electric,4,Automatic Transmission,,500 - 599,,Black,White,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.1790137,55.379422
Mercedes-Benz,GLE Coupe,Mercedes-Benz Gle Coupe,Premium_fullsize_SUV,"2,199,000",GLE 63 S AMG,  -    ,2023,1,European Specs,4,SUV,Petrol,,Automatic Transmission,,900+,8,Grey,Unknown,Does not apply,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.1524105,55.2340999
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,150,000",Black Badge,"17,184",2022,2,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,Unknown,500 - 599,12,Black,Unknown,Yes,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,150,000",Black Badge,"6,146",2023,1,GCC Specs,4,SUV,Petrol,4,Automatic Transmission,Unknown,500 - 599,12,Black,Unknown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,099,000",Black Badge,  -    ,2023,1,European Specs,5,SUV,Petrol,,Automatic Transmission,,600 - 699,12,Grey,Other Color,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,099,000",Standard,  -    ,2023,1,European Specs,5,SUV,Petrol,,Automatic Transmission,,500 - 599,12,Grey,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.167737,55.231018
Bentley,Bentayga,Bentley Bentayga,Premium_fullsize_SUV,"2,099,000",Other,  -    ,2023,1,European Specs,4,SUV,Petrol,5,Automatic Transmission,,500 - 599,8,Grey,Blue,Does not apply,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.1754665,55.2384739
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"2,099,000",G 63 AMG,"6,429",2021,3,European Specs,2,SUV,Petrol,2,Automatic Transmission,3500 - 3999,800 - 899,8,Green,Black,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Rolls-Royce,Phantom,Rolls-Royce Phantom,Premium_fullsized_car,"2,590,000",Other,400,2023,1,GCC Specs,4,Sedan,Petrol,4,Automatic Transmission,,500 - 599,12,Black,Black,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1790137,55.379422
Rolls-Royce,Wraith,Rolls-Royce Wraith,Premium_fullsized_car,"2,590,000",Black Badge,400,2023,1,GCC Specs,2,Coupe,Petrol,4,Automatic Transmission,,600 - 699,12,Black,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1524105,55.2340999
Ferrari,812 Superfast,Ferrari 812 Superfast,Supercar,"1,120,000",Standard,"29,000",2019,5,GCC Specs,2,Hatchback,Petrol,,Automatic Transmission,,700 - 799,12,Red,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1754665,55.2384739
Rolls-Royce,Wraith,Rolls-Royce Wraith,Premium_fullsized_car,"2,590,000",Black Badge,500,2023,1,Other,2,Coupe,Petrol,2,Automatic Transmission,,600 - 699,12,Blue,White,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1524105,55.2340999
Mercedes-Benz,G-Class,Mercedes-Benz G-Class,Premium_fullsize_SUV,"2,099,000",G 63 AMG,"6,429",2021,3,European Specs,2,SUV,Petrol,2,Automatic Transmission,3500 - 3999,800 - 899,8,Green,Black,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,090,000",Standard,"2,000",2023,1,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,Unknown,500 - 599,12,Grey,Unknown,Yes,"Al Quoz Industrial Area 1, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Lamborghini,Urus,Lamborghini Urus,Premium_fullsize_SUV,"2,050,000",Other,  -    ,2024, -   ,GCC Specs,5,SUV,Petrol,5,Automatic Transmission,3500 - 3999,600 - 699,8,Grey,Other Color,Yes,"Al Quoz Industrial Area 3, Al Quoz Industrial Area, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz Industrial Area,Dealer,25.167737,55.231018
Rolls-Royce,Wraith,Rolls-Royce Wraith,Premium_fullsized_car,"2,590,000",Black Badge,500,2023,1,Other,2,Coupe,Petrol,2,Automatic Transmission,,600 - 699,12,Blue,White,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1524105,55.2340999
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,000,000",Black Badge,"6,200",2023,1,European Specs,5,SUV,Petrol,4,Automatic Transmission,4000+,500 - 599,12,Grey,Other Color,Does not apply,"Canal Cove Frond E, Canal Cove, Palm Jumeirah, Dubai, UAE",UAE,Dubai,Palm Jumeirah,Canal Cove,Owner,25.167737,55.231018
McLaren,SLR,Mclaren Slr,Premium_sports_car,"2,700,000",Other,"13,500",2007,17,Japanese Specs,2,Coupe,Petrol,2,Automatic Transmission,Unknown,700 - 799,8,Grey,Black,No,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.1790137,55.379422
Ferrari,488 Pista Spider,Ferrari 488 Pista Spider,Premium_sports_car,"2,600,000",Other,119,2020,4,GCC Specs,2,Coupe,Petrol,2,Automatic Transmission,3000 - 3499,700 - 799,8,Yellow,Black,No,"Al Khail Heights, Al Quoz 4, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 4,Dealer,25.1524105,55.2340999
Rolls-Royce,Spectre,Rolls-Royce Spectre,Premium_fullsized_car,"2,580,000",Other,  -    ,2024, -   ,GCC Specs,2,Coupe,Electric,4,Automatic Transmission,,500 - 599,,Blue,Black,Yes,"Ras Al Khor Industrial 3, Ras Al Khor Industrial, Ras Al Khor, Dubai, UAE",UAE,Dubai,Ras Al Khor,Ras Al Khor Industrial,Dealer,25.1790137,55.379422
Rolls-Royce,Spectre,Rolls-Royce Spectre,Premium_fullsized_car,"2,550,000",Other,200,2024, -   ,GCC Specs,2,Coupe,Electric,4,Automatic Transmission,,500 - 599,,White,Blue,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1790137,55.379422
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"2,000,000",Black Badge,"6,200",2023,1,European Specs,5,SUV,Petrol,4,Automatic Transmission,4000+,500 - 599,12,Grey,Other Color,Does not apply,"Canal Cove Frond E, Canal Cove, Palm Jumeirah, Dubai, UAE",UAE,Dubai,Palm Jumeirah,Canal Cove,Owner,25.167737,55.231018
Rolls-Royce,Cullinan,Rolls-Royce Cullinan,Premium_fullsize_SUV,"1,999,000",Standard,47,2023,1,GCC Specs,4,SUV,Petrol,5,Automatic Transmission,,600 - 699,12,White,Tan,Yes,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.167737,55.231018
Ferrari,F430 Spider,Ferrari F430 Spider,Premium_sports_car,"2,599,000",16M,  -    ,2009,15,European Specs,2,Hard Top Convertible,Petrol,2,Automatic Transmission,4000+,500 - 599,8,Black,Black,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1687524,55.2562974
Rolls-Royce,Wraith,Rolls-Royce Wraith,Premium_fullsized_car,"2,490,000",Black Badge,300,2023,1,GCC Specs,2,Coupe,Petrol,4,Automatic Transmission,,600 - 699,12,Black,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1524105,55.2340999
Rolls-Royce,Wraith,Rolls-Royce Wraith,Premium_fullsized_car,"2,490,000",Black Badge,300,2023,1,GCC Specs,2,Coupe,Petrol,4,Automatic Transmission,,600 - 699,12,Black,Unknown,Yes,"Al Safa, Dubai, UAE",UAE,Dubai,Al Safa,,Dealer,25.1524105,55.2340999
Ferrari,F430 Spider,Ferrari F430 Spider,Premium_sports_car,"2,599,000",16M,  -    ,2009,15,European Specs,2,Hard Top Convertible,Petrol,2,Automatic Transmission,4000+,500 - 599,8,Black,Black,No,"Al Quoz 1, Al Quoz, Dubai, UAE",UAE,Dubai,Al Quoz,Al Quoz 1,Dealer,25.1687524,55.2562974
